#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
24.0%	600000	1199.9999999854476	-336133.83196400176	9645.624938768076	-326488.20702523366	303.29428822624516	26.971272188718004	1.221997443797491	530	193.94459199905396	10:19
24.2%	605000	1209.9999999852112	-336521.5236874839	9478.427661298292	-327043.0960261856	298.0369845693563	26.81086974988032	1.2293083356882475	530	195.58443760871887	10:17
24.4%	610000	1219.9999999849747	-336304.71733936266	9533.808212212898	-326770.90912714973	299.7783548670664	26.81086974988032	1.2293083356882475	530	197.21674489974976	10:16
24.6%	615000	1229.9999999847382	-336393.5802979163	9423.870733105867	-326969.70956481044	296.3215120303582	26.81086974988032	1.2293083356882475	530	198.85175490379333	10:14
24.8%	620000	1239.9999999845018	-336405.45890218206	9498.2383959445	-326907.2205062376	298.6599076771801	26.79837418582928	1.2298815384109407	530	200.48714566230774	10:12
25.0%	625000	1249.9999999842653	-336912.64153154264	9581.575396890345	-327331.0661346523	301.280332641372	26.88122574279187	1.2260908779212785	530	202.11841917037964	10:11
25.2%	630000	1259.9999999840288	-336526.3466680043	9441.73208129513	-327084.6145867092	296.88313918466	26.884285241513513	1.2259513457209645	530	203.7522690296173	10:09
25.4%	635000	1269.9999999837923	-336289.40292590356	9523.00358012903	-326766.39934577455	299.4386170876871	26.891278200826235	1.2256325424340409	530	205.3827965259552	10:07
25.6%	640000	1279.9999999835559	-336568.22055582114	9471.025295822905	-327097.19525999826	297.80422669391527	26.879397479509333	1.2261742732776983	530	207.0128607749939	10:06
25.8%	645000	1289.9999999833194	-336606.1462019818	9584.265796846259	-327021.88040513557	301.364928812678	26.879397479509333	1.2261742732776983	530	208.6396677494049	10:04
26.0%	650000	1299.999999983083	-336308.44944065576	9518.664055002844	-326789.7853856529	299.30216629339	26.876734203381165	1.2262957776482177	530	210.32300853729248	10:03
26.2%	655000	1309.9999999828465	-336616.8688027705	9508.657568785698	-327108.2112339848	298.9875251857229	26.82814178258675	1.2285169035438834	530	211.96049237251282	10:01
26.4%	660000	1319.99999998261	-336377.80390126084	9713.962651295837	-326663.841249965	305.4430798298677	26.81793378868588	1.2289845269319235	530	213.59352803230286	10:00
